,Date,Year,Type,Country,Area,Location,Activity,Sex,Age,Injury,Fatal,Time,Species,Year_D,Month_D,Act,Boat,Injur_Type,Spec
1387,22-Apr-2007,2007,Unprovoked,USA,FLORIDA,"Hutchinson Island, St. Lucie County",Body boarding,M,12,Left foot bitten,N,12h30,blacktip or spinner shark,2007,APR,BOARDING,No,BITTEN,SPINNER
1388,20-Apr-2007,2007,Unprovoked,USA,FLORIDA,"New Smyrna Beach, Volusia County",Surfing,M,24,Lacerations to left index finger & thumb ,N,17h00,3' to 4' shark,2007,APR,SURFING,No,LACERATIONS,UNKONWN
1389,Reported      13-Apr-2007,2007,Boat,USA,FLORIDA,"Florida Keys, Monroe County",Fishing,X,UNKNOWN,"No injury to occupants, shark holed the transom-mounted livewell ",N,UNKNOWN,"Bull shark, 10'",2007,APR,FISHING,Yes,NO INJURY,BULL
1390,09-Apr-2007,2007,Unprovoked,NEW CALEDONIA,SOUTH PROVINCE,Dumbéa,Surfing,M,26,Left foot bitten,N,16h00,Tiger shark,2007,APR,SURFING,No,BITTEN,TIGER
1391,01-Apr-2007,2007,Unprovoked,USA,FLORIDA,"New Smyrna Beach, Volusia County",Playing on a sandbar,M,7,Lacerations & puncture wounds to right calf,N,13h05,UNKNOWN,2007,APR,PLAYING,No,LACERATIONS,UNKONWN
1392,31-Mar-2007,2007,Unprovoked,USA,FLORIDA,"Normandy Beach, Hutchinson Island,  St. Lucie County",Surfing,M,27,Lacerations to right ankle ,N,14h20,3' shark,2007,MAR,SURFING,No,LACERATIONS,UNKONWN
1393,31-Mar-2007,2007,Unprovoked,USA,FLORIDA,"Waveland Beach, Hutchinson Island, St. Lucie County",UNKNOWN,M,9,Minor cuts to right buttock & thigh,N,13h20,UNKNOWN,2007,MAR,UNKONWN,No,MINOR INJURIES,UNKONWN
1394,22-Mar-2007,2007,Unprovoked,YEMEN,MUHAFAZAT HADRAMAWT,Ras-Alkalb,Murder,X,UNKNOWN,"FATAL,  beaten & thrown overboard by smugglers, they  were killed by sharks",Y,Morning,UNKNOWN,2007,MAR,UNKONWN,No,FATAL INJURY,UNKONWN
1395,21-Mar-2007,2007,Unprovoked,USA,FLORIDA,Jupiter Inlet,Surfing,M,11,Punctures & lacerations to right calf & calf,N,Evening,4' to 5' shark,2007,MAR,SURFING,No,LACERATIONS,UNKONWN
1396,20-Mar-2007,2007,Unprovoked,AUSTRALIA,NEW SOUTH WALES,South Golden Beach,Surfing,F,42,Lacerations to 3 fingers of left hand ,N,10h00,1.5 m shark,2007,MAR,SURFING,No,LACERATIONS,UNKONWN
1397,Reported 14-Mar-2007,2007,Provoked,USA,FLORIDA,Delray Beach,Shark fishing,M,UNKNOWN,Right hand bitten by hooked shark PROVOKED INCIDENT,N,UNKNOWN,5' shark,2007,MAR,FISHING,Yes,BITTEN,UNKONWN
1398,12-Mar-2007,2007,Unprovoked,AUSTRALIA,QUEENSLAND,"Moore Park, north of Bundaberg",Swimming,F,59,"Bruises to arm and hand, laceration to lower leg & minor injuries to foot",N,15h30,2 to 2.5 m shark,2007,MAR,SWIMMING,No,LACERATIONS,UNKONWN
1399,11-Mar-2007,2007,Unprovoked,USA,FLORIDA,"Tiger Shores Beach, Martin County",Surfing,M,29,Lacerations to right forearm & hand,N,13h00,UNKNOWN,2007,MAR,SURFING,No,LACERATIONS,UNKONWN
1400,Reported 05-Mar-2007,2007,Provoked,NEW ZEALAND,COOK ISLANS,Penhryn Island,Spearfishing,M,16,Leg bitten  by shark after he shot at it & missed  PROVOKED INCIDENT,N,UNKNOWN,Tiger shark,2007,MAR,SPEARFISHING,No,BITTEN,TIGER
1402,03-Feb-2007,2007,Unprovoked,AUSTRALIA,NEW SOUTH WALES,Shelly Beach,Boogie Boarding,M,26,Lacerations to  lower left leg & ankle ,N,08h00,UNKNOWN,2007,FEB,BOARDING,No,LACERATIONS,UNKONWN
1403,Feb-2007,2007,Unprovoked,NEW CALEDONIA,LOYALTY ISLANDS,Ouvéa,Spearfishing,M,UNKNOWN,Survived,N,UNKNOWN,UNKNOWN,2007,FEB,SPEARFISHING,No,OTHERS,UNKONWN
1404,25-Jan-2007,2007,Unprovoked,NEW CALEDONIA,NORTH PROVINCE,Kaala-Gomen,Spearfishing (free diving),M,30,Leg bitten,N,14h00,Tiger shark,2007,JAN,SPEARFISHING,No,BITTEN,TIGER
1405,25-Jan-2007,2007,Boat,USA,FLORIDA,100 miles off Ft. Myers Beach,Shrimping,X,UNKNOWN,"A large shark rammed boat, breaking prop shaft. No injury to occupants but boat sank several hours later",N,03h30,14' shark,2007,JAN,SHRIMPING,Yes,NO INJURY,UNKONWN
1406,23-Jan-2007,2007,Unprovoked,AUSTRALIA,NEW SOUTH WALES,Cape Howe,Diving,M,41,Head & torso bitten,N,10h30,"White shark, 3m",2007,JAN,DIVING,No,BITTEN,WHITE
1408,14-Jan-2007,2007,Unprovoked,SOUTH AFRICA,EASTERN CAPE PROVINCE,"Second Beach, Port St. John's",Swimming / Body Surfing,M,24,"Presumed FATAL, body not recovered",Y,Afternoon,Tiger shark,2007,JAN,SWIMMING,No,FATAL INJURY,TIGER
1409,09-Jan-2007,2007,Unprovoked,AUSTRALIA,NEW SOUTH WALES,Sandbar Beach,Surfing,M,UNKNOWN,"No injury, shark damaged surfboard",N,06h30,2.4 m shark,2007,JAN,SURFING,No,NO INJURY,UNKONWN
1411,01-Jan-2007,2007,Unprovoked,USA,HAWAII,"Majors Bay, Kaua'i",Surfing,M,24,"No injury, shark removed piece of surfboard",N,10h15,"6' to 8' shark, possibly a tiger shark",2007,JAN,SURFING,No,NO INJURY,TIGER
1412,18-Dec-2006,2006,Unprovoked,AUSTRALIA,VICTORIA,"Winki Pop, Bells Beach",Surfing,M,25,Left leg bitten,N,20h00,2.5 to 3 m shark,2006,DEC,SURFING,No,BITTEN,UNKONWN
1413,11-Dec-2006,2006,Unprovoked,NEW ZEALAND,NORTH ISLAND,"Raglan, Manu Bay",Surfing,M,10,Foot bitten,N,11h00,2 to 3 m shark,2006,DEC,SURFING,No,BITTEN,UNKONWN
1414,10-Dec-2006,2006,Unprovoked,USA,CALIFORNIA,"Dillon Beach, Marin County",Surfing,M,43,"Minor injuries, surfboard bitten",N,11h50,"White shark, 12' to 15'",2006,DEC,SURFING,No,BITTEN,WHITE
1415,06-Dec-2006,2006,Provoked,SOUTH AFRICA,KWAZULU-NATAL,Cape Vidal,Fishing,M,25,"Hand, thigh & calf bitten by hooked shark PROVOKED INCIDENT",N,"""Evening""","Raggedtooth shark, 150-kg",2006,DEC,FISHING,Yes,BITTEN,RAGGEDTOOTH
1416,02-Dec-2006,2006,Unprovoked,AUSTRALIA,WESTERN AUSTRALIA,Wharton Beach,Body boarding,M,15,"Right leg severed, left leg lacerated",N,07h30,"White shark, 5m",2006,DEC,BOARDING,No,LACERATIONS,WHITE
1417,25-Nov-2006,2006,Sea Disaster,PHILIPPINES,SURIGAO DEL NORTE,"Off Bilisan Point, Hinatuarn Island",Sea Disaster,X,UNKNOWN,15 perished but shark involvement prior to death was not confirmed,Y,14h20,UNKNOWN,2006,NOV,UNKONWN,No,OTHERS,UNKONWN
1418,11-Nov-2006,2006,Unprovoked,USA,HAWAII,"Kihei, Maui",Swimming,M,29,Laceration to left thigh & left hand,N,12h30,2 m to 3 m shark,2006,NOV,SWIMMING,No,LACERATIONS,UNKONWN
1419,09-Nov-2006,2006,Provoked,SOUTH AFRICA,EASTERN CAPE PROVINCE,"Nahoon, East London",Canoeing,M,UNKNOWN,Left arm lacerated when he grabbed shark by its tail PROVOKED INCIDENT,N,Afternoon,"Bull shark, 1.5m",2006,NOV,CANOEING,No,LACERATIONS,BULL
1420,31-Oct-2006,2006,Unprovoked,USA,OREGON,"Siletz River mouth, Lincoln County",Surfing,M,22,"No injury, surfboard bitten",N,Just before sundown,"White shark, 16'",2006,OCT,SURFING,No,NO INJURY,WHITE
1421,16-Oct-2006,2006,Unprovoked,USA,FLORIDA,Sebastian Inlet,Fishing,M,15,Lower right leg and foot bitten,N,UNKNOWN,UNKNOWN,2006,OCT,FISHING,Yes,BITTEN,UNKONWN
1422,10-Oct-2006,2006,Unprovoked,USA,FLORIDA,"Daytona Beach, Volusia County",Surfing,M,20,Left ankle bitten,N,11h30,UNKNOWN,2006,OCT,SURFING,No,BITTEN,UNKONWN
1423,07-Oct-2006,2006,Unprovoked,USA,TEXAS,"Isla Blanca Park, South Padre Island",Surfing,M,UNKNOWN,Lacerations to lower left leg,N,UNKNOWN,1' to 4' shark,2006,OCT,SURFING,No,LACERATIONS,UNKONWN
1424,05-Oct-2006,2006,Unprovoked,USA,FLORIDA,"New Smyrna Beach, Volusia County",Playing soccer in the water,M,18,Lacerations to foot,N,12h00,3' to 3.5' shark,2006,OCT,PLAYING,No,LACERATIONS,UNKONWN
1425,Oct-2006,2006,Unprovoked,BAHAMAS,NEW PROVIDENCE ISLAND,Nassau,Free diving / modeling,F,26,Puncture wounds to left foot,N,UNKNOWN,UNKNOWN,2006,OCT,DIVING,No,PUNCTURED,UNKONWN
1426,Oct-2006,2006,Unprovoked,GULF OF ADEN,BETWEEN SOMALIA & YEMEN,UNKNOWN,Murder,X,UNKNOWN,"FATAL,  beaten & thrown overboard by smugglers, they  were killed by sharks",Y,UNKNOWN,UNKNOWN,2006,OCT,UNKONWN,No,FATAL INJURY,UNKONWN
1428,29-Sep-2006,2006,Unprovoked,USA,FLORIDA,"New Smyrna Beach, Volusia County",Surfing,M,19,Big toe bitten,N,UNKNOWN,UNKNOWN,2006,SEP,SURFING,No,BITTEN,UNKONWN
1429,Reported 18-Sep-2006,2006,Provoked,USA,FLORIDA,"Off Key Largo, Monroe County",Diving / Kissing the shark,M,UNKNOWN,Lacerations to upper lip    PROVOKED INCIDENT,N,UNKNOWN,Nurse shark,2006,SEP,DIVING,No,LACERATIONS,NURSE
1430,16-Sep-2006,2006,Unprovoked,USA,NORTH CAROLINA,Onslow Beach,Surfing,M,16,Laceration to left thigh,N,Morning,UNKNOWN,2006,SEP,SURFING,No,LACERATIONS,UNKONWN
1431,14-Sep-2006,2006,Unprovoked,USA,FLORIDA,"Singer Island, Riviera Beach",Swimming,M,55,Minor injury to left hand,N,14h00,Spinner shark,2006,SEP,SWIMMING,No,MINOR INJURIES,SPINNER
1432,11-Sep-2006,2006,Unprovoked,USA,FLORIDA,"New Smyrna Beach, Volusia County",Surfing,M,52,Left torso grazed,N,UNKNOWN,5' shark,2006,SEP,SURFING,No,OTHERS,UNKONWN
1434,03-Sep-2006,2006,Unprovoked,BRAZIL,UNKNOWN,UNKNOWN,UNKNOWN,M,20,FATAL,Y,13h00,UNKNOWN,2006,SEP,UNKONWN,No,FATAL INJURY,UNKONWN
1435,03-Sep-2006,2006,Unprovoked,USA,FLORIDA,"New Smyrna Beach, Volusia County",Standing,M,33,Puncture wounds and cuts to right thigh,N,17h30,3' shark,2006,SEP,STANDING,No,PUNCTURED,UNKONWN
1436,02-Sep-2006,2006,Unprovoked,USA,FLORIDA,"New Smyrna Beach, Volusia County",Swimming,M,12,Arm bitten,N,17h55,UNKNOWN,2006,SEP,SWIMMING,No,BITTEN,UNKONWN
1437,02-Sep-2006,2006,Unprovoked,SOUTH AFRICA,WESTERN CAPE PROVINCE,Noordhoek,Surfing,M,37,"No injury, shark rammed surfboard",N,UNKNOWN,"White shark, 3.5m",2006,SEP,SURFING,No,NO INJURY,WHITE
1438,29-Aug-2006,2006,Unprovoked,USA,OREGON,"Florence, Lane County",Surfing,M,23,Laceration & puncture wounds to foot,N,Sunset,UNKNOWN,2006,AUG,SURFING,No,LACERATIONS,UNKONWN
1439,29-Aug-2006,2006,Unprovoked,AUSTRALIA,SOUTH AUSTRALIA,"Pennington Bay, Kangaroo Island",Surfing,M,UNKNOWN,"No injury, shark towed  surfer & board",N,16h00,"Bronze whaler shark, 6'",2006,AUG,SURFING,No,NO INJURY,WHALER
1440,27-Aug-2006,2006,Unprovoked,REUNION,SAINT-GILLES-LES-BAINS,"Les Aigrettes, near Boucan-Canot",Body boarding,M,27,Laceration to right calf & heel,N,18h00,UNKNOWN,2006,AUG,BOARDING,No,LACERATIONS,UNKONWN
1443,20-Aug-2006,2006,Sea Disaster,ITALY,UNKNOWN,Lampedusa Island,Sea Disaster,M,UNKNOWN,FATAL,Y,UNKNOWN,UNKNOWN,2006,AUG,UNKONWN,No,FATAL INJURY,UNKONWN
1444,20-Aug-2006,2006,Unprovoked,REUNION,SAINT-PIERRE,Pointe du Diable,Surfing,M,34,FATAL,Y,11h00,UNKNOWN,2006,AUG,SURFING,No,FATAL INJURY,UNKONWN
1445,15-Aug-2006,2006,Unprovoked,SOUTH AFRICA,WESTERN CAPE PROVINCE,Danger Reef,Surfing,M,UNKNOWN,"No injury, surfboard leash severed",N,UNKNOWN,5 m shark,2006,AUG,SURFING,No,NO INJURY,UNKONWN
1446,13-Aug-2006,2006,Unprovoked,SOUTH AFRICA,WESTERN CAPE PROVINCE,"Sunrise Beach, Muizenberg",Lifesaving drill,M,24,Foot severed,N,11h00,White shark,2006,AUG,LIFESAVING,No,LIMB SEVERED,WHITE
1447,Aug-2006,2006,Unprovoked,USA,NORTH CAROLINA,"Masonboro Island, New Hanover County",Wading,F,59,Lacerations & punctures to left foot,N,12h00,UNKNOWN,2006,AUG,WADING,No,LACERATIONS,UNKONWN
1448,Early Aug-2006,2006,Unprovoked,REUNION,UNKNOWN,Le Port,Spearfishing,M,UNKNOWN,Thigh bitten,N,UNKNOWN,"Bull shark, 1.5m",2006,AUG,SPEARFISHING,No,BITTEN,BULL
1449,31-Jul-2006,2006,Provoked,USA,KENTUCKY,"Newport Aquarium, Newport",Touching sharks,X,UNKNOWN,"Minor injuries, similar to paper cuts from the captive sharks  PROVOKED INCIDENTS",N,UNKNOWN,small catsharks,2006,JUL,TOUCHING,No,MINOR INJURIES,UNKONWN
1450,31-Jul-2006,2006,Unprovoked,USA,OREGON,Oswald State Park,Surfing,M,41,Minor injury,N,16h00,White shark?,2006,JUL,SURFING,No,MINOR INJURIES,WHITE
1452,29-Jul-2006,2006,Unprovoked,USA,FLORIDA,"Playalinda Beach, Canaveral National Seashore, Brevard County",Surfing,M,15,Foot bitten,N,UNKNOWN,UNKNOWN,2006,JUL,SURFING,No,BITTEN,UNKONWN
1453,28-Jul-2006,2006,Unprovoked,SOUTH AFRICA,WESTERN CAPE PROVINCE,Fish Hoek,Surf-skiing,M,19,"No injury, surf ski bitten",N,16h30,"White shark, 3m to 4m",2006,JUL,SKIING,No,NO INJURY,WHITE
1454,25-Jul-2006,2006,Unprovoked,USA,FLORIDA,"New Smyrna Beach, Volusia County",Surfing,M,14,Minor lacerations to right foot,N,13h45,,2006,JUL,SURFING,No,LACERATIONS,UNKONWN
1455,23-Jul-2006,2006,Unprovoked,USA,TEXAS,"Sargent Beach, Matagorda County",Surf fishing,M,UNKNOWN,Right foot bitten,N,UNKNOWN,"Bull shark, 4' to 5'",2006,JUL,FISHING,Yes,BITTEN,BULL
1457,17-Jul-2006,2006,Unprovoked,USA,SOUTH CAROLINA,"Singleton Beach, Hilton Head Island, Beaufort County",Standing,M,49,Left ankle & foot bitten,N,10h00,"Angel shark, 1.2m",2006,JUL,STANDING,No,BITTEN,ANGEL
1459,12-Jul-2006,2006,Unprovoked,USA,SOUTH CAROLINA,"Kiawah Island, Charleston County",Swimming,F,21,Ankle & foot bitten,N,13h30,UNKNOWN,2006,JUL,SWIMMING,No,BITTEN,UNKONWN
1460,10-Jul-2006,2006,Unprovoked,BRAZIL,PERNAMBUCO,Body recovered at Goiana,UNKNOWN,M,UNKNOWN,FATAL,Y,UNKNOWN,Bull or tiger shark,2006,JUL,UNKONWN,No,FATAL INJURY,TIGER
1461,09-Jul-2006,2006,Unprovoked,USA,FLORIDA,"New Smyrna Beach, Volusia County",Wading,M,40,Dorsum of left foot bitten,N,17h00,UNKNOWN,2006,JUL,WADING,No,BITTEN,UNKONWN
1462,09-Jul-2006.,2006,Unprovoked,USA,FLORIDA,"Ponte Vedra Beach, St Johns County",Walking,M,11,Lower leg & ankle bitten,N,13h00,UNKNOWN,2006,JUL,WALKING,No,BITTEN,UNKONWN
1463,08-Jul-2006,2006,Unprovoked,USA,SOUTH CAROLINA,"Debordieu Beach, Georgetown County",Body boarding,F,14,Foot bitten,N,11h00,5' to 6' spinner or bull shark,2006,JUL,BOARDING,No,BITTEN,BULL
1464,08-Jul-2006,2006,Unprovoked,USA,FLORIDA,"Playalinda Beach, Canaveral National Seashore, Brevard County",Swimming,M,13,Right calf bitten,N,13h00,UNKNOWN,2006,JUL,SWIMMING,No,BITTEN,UNKONWN
1465,July 2006,2006,Unprovoked,USA,FLORIDA,"Florida Keys, Monroe County",Spearfishing,F,28,Lacerations & puncture wound  to arm,N,UNKNOWN,"1.8 m blacktip ""reef"" shark",2006,UNKNOWN,SPEARFISHING,No,LACERATIONS,UNKONWN
1466,July 2006,2006,Unprovoked,USA,FLORIDA,"Florida Keys, Monroe County",Spearfishing,M,35,Minor injuries,N,UNKNOWN,"1.8 m blacktip ""reef"" shark",2006,UNKNOWN,SPEARFISHING,No,MINOR INJURIES,UNKONWN
1467,27-Jun-2006,2006,Unprovoked,USA,FLORIDA,"Hutchinson Island, St. Lucie County",Body boarding,F,9,Right calf bitten,N,11h10,UNKNOWN,2006,JUN,BOARDING,No,BITTEN,UNKONWN
1468,26-Jun-2006,2006,Provoked,USA,FLORIDA,Fort Myers,Fishing,M,UNKNOWN,Non-swimmer pulled off pier& into the water by a hooked shark PROVOKED INCIDENT,N,Afternoon,UNKNOWN,2006,JUN,FISHING,Yes,OTHERS,UNKONWN
1469,24-Jun-2006,2006,Unprovoked,BAHAMAS,ANDROS ISLANDS,Mangrove Cay,Spearfishing,M,25,Right arm severely bitten,N,13h00,UNKNOWN,2006,JUN,SPEARFISHING,No,BITTEN,UNKONWN
1470,20-Jun-2006,2006,Unprovoked,USA,FLORIDA,"New Smyrna Beach, Volusia County",Surfing,F,22,2-inch puncture wounds on right foot,N,13h00,Possibly a 1' to 3' blacktip or spinner shark,2006,JUN,SURFING,No,PUNCTURED,SPINNER
1471,18-Jun-2006,2006,Unprovoked,BRAZIL,PERNAMBUCO,"Punta Del Chifre Beach, Olinda",Body boarding,M,27,Left thigh bitten FATAL,Y,09h00,UNKNOWN,2006,JUN,BOARDING,No,FATAL INJURY,UNKONWN
1472,17-Jun-2006,2006,Unprovoked,USA,CALIFORNIA,"Monterey, Monterey County",Scuba diving,M,43,"No injury, shark bit scuba tank boot",N,11h10,UNKNOWN,2006,JUN,DIVING,No,NO INJURY,UNKONWN
1473,15-Jun-2006,2006,Unprovoked,USA,FLORIDA,"New Smyrna Beach, Volusia County",Surfing,M,24,Four 1-inch puncture wounds on left foot ,N,15h30,2' to 3' shark,2006,JUN,SURFING,No,PUNCTURED,UNKONWN
1474,07-Jun-2006,2006,Unprovoked,USA,SOUTH CAROLINA,"Coligny Beach, Hilton Head, Beaufort County",Playing,F,7,Lacerations & puncture wounds to left foot & buttocks,N,13h45,3' to 4' shark,2006,JUN,PLAYING,No,LACERATIONS,UNKONWN
1475,05-Jun-2006,2006,Unprovoked,AUSTRALIA,SOUTH AUSTRALIA,Waitpinga,Surfing,M,40,"No injury, knocked off surfboard",N,11h30,14' white shark,2006,JUN,SURFING,No,NO INJURY,WHITE
1476,31-May-2006,2006,Unprovoked,USA,HAWAII,O'ahu,Spearfishing,M,26,"4"" laceration to left forearm",N,13h30,"Tiger shark, 8' to 12'",2006,MAY,SPEARFISHING,No,LACERATIONS,TIGER
1477,28-May-2006,2006,Provoked,USA,HAWAII,French Frigate Shoals,Tagging sharks,X,UNKNOWN,"No injury to occupants, boat damaged by hooked shark PROVOKED INCIDENT",N,Afternoon,"Tiger shark, 15' female",2006,MAY,TAGGING,No,NO INJURY,TIGER
1478,27-May-2006,2006,Unprovoked,USA,HAWAII,"North Shore, O'ahu",Surfing,M,31,"No injury, shark bumped surfboard",N,16h00,UNKNOWN,2006,MAY,SURFING,No,NO INJURY,UNKONWN
1479,24-May-2006,2006,Provoked,USA,HAWAII,Lanai,Spearfishing,M,15,Knee bitten after diver poked shark PROVOKED INCIDENT,N,16h30,"Grey reef shark, 5' to 8'",2006,MAY,SPEARFISHING,No,BITTEN,REEF
1480,21-May-2006,2006,Unprovoked,BRAZIL,PERNAMBUCO,"Boa Viagem Beach, Recife",Surfing,M,33,"Injuries to left thigh, calf & foot",N,11h30,UNKNOWN,2006,MAY,SURFING,No,INJURED,UNKONWN
1481,19-May-2006,2006,Unprovoked,USA,GUAM,Gun Beach,Scuba diving,F,30,Laceration to leg,N,15h30,"Tiger shark, 10' to 12'",2006,MAY,DIVING,No,LACERATIONS,TIGER
1482,05-May-2006,2006,Unprovoked,USA,FLORIDA,"Cocoa Beach, Brevard  County",UNKNOWN,M,UNKNOWN,Small lacerations to arm,N,12h15,UNKNOWN,2006,MAY,UNKONWN,No,LACERATIONS,UNKONWN
1483,04-May-2006,2006,Unprovoked,USA,FLORIDA,"Hutchinson Island, St. Lucie County",Swimming,F,20,2 lacerations on lower right leg,N,16h30,UNKNOWN,2006,MAY,SWIMMING,No,LACERATIONS,UNKONWN
1484,02-May-2006,2006,Provoked,AUSTRALIA,QUEENSLAND,"Moffat Beach, Caloundra",Snorkeling,M,46,Abrasion & 6 puncture wounds on chest after grabbing the shark by its tail PROVOKED INCIDENT,N,16h30,"Wobbegong shark, 2 m",2006,MAY,SNORKELING,No,PUNCTURED,WOBBEGONG
1486,21-Apr-2006,2006,Unprovoked,USA,FLORIDA,"Sebastian Inlet, Brevard County",Surfing,M,54,Feet bitten,N,UNKNOWN,UNKNOWN,2006,APR,SURFING,No,BITTEN,UNKONWN
1487,19-Apr-2006,2006,Unprovoked,USA,FLORIDA,"Daytona Beach, Volusia County",Standing,F,13,3 tiny punctures & small lacerations on right ankle,N,15h00,UNKNOWN,2006,APR,STANDING,No,LACERATIONS,UNKONWN
1488,13-Apr-2006,2006,Provoked,USA,FLORIDA,"Port of the Islands, Collier County",Fishing,M,35,3 to 4 cm laceration on foot from hooked shark brought on board PROVOKED INCIDENT,N,Afternoon,"Bull shark, 4' to bull shark",2006,APR,FISHING,Yes,LACERATIONS,BULL
1489,11-Apr-2006,2006,Unprovoked,AUSTRALIA,NEW SOUTH WALES,Newcastle Beach,Surfing,M,15,Minor laceration to left foot,N,13h30,"Bronze whaler shark, a  juvenile",2006,APR,SURFING,No,LACERATIONS,WHALER
1490,09-Apr-2006,2006,Unprovoked,SOUTH AFRICA,EASTERN CAPE PROVINCE,St. Francis Bay,Body boarding,M,15,Leg bitten,N,17h30,"Raggedtooth shark, 2.5 m to 3 m",2006,APR,BOARDING,No,BITTEN,RAGGEDTOOTH
1491,09-Apr-2006,2006,Unprovoked,BRAZIL,PERNAMBUCO,Piedade,Swimming,M,35,Left leg bitten,N,Afternoon,Tiger shark,2006,APR,SWIMMING,No,BITTEN,TIGER
1492,03-Apr-2006,2006,Unprovoked,USA,FLORIDA,"Marco Island, Collier County",Wading,M,11,Minor injury to right hand & thigh,N,12h30,UNKNOWN,2006,APR,WADING,No,MINOR INJURIES,UNKONWN
1493,Reported  28-Mar-2006,2006,Unprovoked,SIERRA LEONE,WESTERN AREA,"Lumely Beach, Freetown",Fishing,M,UNKNOWN,Reportedly FATAL but few details,Y,UNKNOWN,"3 m, 600-kg shark",2006,MAR,FISHING,Yes,FATAL INJURY,UNKONWN
1494,23-Mar-2006,2006,Unprovoked,USA,HAWAII,"Leftovers, near Waimea Bay, O'ahu",Surfing,F,28,5 puncture wounds in left calf,N,11h30,"Tiger shark, 10'",2006,MAR,SURFING,No,PUNCTURED,TIGER
1496,18-Mar-2006,2006,Unprovoked,FIJI,VITU LEVU,Sigatoka,Surfing,M,21,Lacerations to right hand,N,18h00,"Tiger shark, 5'",2006,MAR,SURFING,No,LACERATIONS,TIGER
1497,15-Mar-2006,2006,Unprovoked,AUSTRALIA,NEW SOUTH WALES,"Bondi, Sydney",Surfing,M,15,"No injury, shark nudged surfboard",N,17h00,"Bronze whaler shark, 2 m",2006,MAR,SURFING,No,NO INJURY,WHALER
1498,27-Feb-2006,2006,Unprovoked,USA,HAWAII,"Makena, Maui",Standing,F,15,Deep laceration to right calf,N,16h30,5' to 7' shark,2006,FEB,STANDING,No,LACERATIONS,UNKONWN
1500,13-Feb-2006,2006,Unprovoked,AUSTRALIA,QUEENSLAND,"Golden Beach, Caloundra",Wading,M,18,Lacerations to foot,N,11h00,UNKNOWN,2006,FEB,WADING,No,LACERATIONS,UNKONWN
1501,12-Feb-2006,2006,Unprovoked,AUSTRALIA,QUEENSLAND,"Point Vernon, Hervey Bay",Swimming,M,UNKNOWN,Puncture wound on arm,N,UNKNOWN,UNKNOWN,2006,FEB,SWIMMING,No,PUNCTURED,UNKONWN
1502,12-Feb-2006,2006,Boat,AUSTRALIA,SOUTH AUSTRALIA,"Brighton Beach, Adelaide",Fishing,M,UNKNOWN,No injury to occupants; shark nudged the 5.3 m boat,N,12h00,4.5 m white shark,2006,FEB,FISHING,Yes,NO INJURY,WHITE
1503,08-Feb-2006,2006,Unprovoked,SOUTH AFRICA,EASTERN CAPE PROVINCE,"Nahoon, East London",Surfing,M,15,2 bite marks on right calf,N,Late afternoon,Raggedtooth shark,2006,FEB,SURFING,No,OTHERS,RAGGEDTOOTH
1504,01-Feb-2006,2006,Unprovoked,TONGA,VAVA'U,Tuanuku,Swimming,F,24,Severe bite to right leg FATAL,Y,18h00,Tiger shark,2006,FEB,SWIMMING,No,FATAL INJURY,TIGER
1505,01-Feb-2006,2006,Boat,USA,HAWAII,"Off Pu'u Ola'l, Makena, Maui",Kayaking,M,57,No injury to occupant; shark bumped the kayak repeatedly for 15 minutes,N,Afternoon,12' to 18' shark,2006,FEB,KAYAKING,Yes,NO INJURY,UNKONWN
1506,Reported 28-Jan-2006,2006,Boat,ATLANTIC OCEAN,300 MILES FROM ANTIGUA,UNKNOWN,Competing in the Woodvale Atlantic Rowing Race,M,46,No injury to occupants; shark rammed boat repeatedly,N,UNKNOWN,12' shark,2006,JAN,COMPETING,Yes,NO INJURY,UNKONWN
1507,25-Jan-2006,2006,Unprovoked,SOUTH AFRICA,EASTERN CAPE PROVINCE,Coffee Bay,Spearfishing,M,34,Right arm  bitten,N,14h00,UNKNOWN,2006,JAN,SPEARFISHING,No,BITTEN,UNKONWN
1508,23-Jan-2006,2006,Boat,ATLANTIC OCEAN,800 MILES FROM LAND,UNKNOWN,Competing in the Woodvale Atlantic Rowing Race,F,28,"No injury to occupants; a shark, accidentally caught in a line, threatened to rip out the transom",N,UNKNOWN,UNKNOWN,2006,JAN,COMPETING,Yes,NO INJURY,UNKONWN
1509,18-Jan-2006,2006,Unprovoked,USA,CALIFORNIA,"Santa Cruz, Santa Cruz County",Night Surfing,M,UNKNOWN,"No injury, but 2 small nicks on wetsuit",N,22h30,UNKNOWN,2006,JAN,SURFING,No,NO INJURY,UNKONWN
1510,15-Jan-2006,2006,Unprovoked,AUSTRALIA,WESTERN AUSTRALIA,"Off City Beach, Perth",Scuba diving,M,52,Lacerations to left elbow,N,11h00,3.5 m white shark,2006,JAN,DIVING,No,LACERATIONS,WHITE
1512,07-Jan-2006,2006,Unprovoked,AUSTRALIA,QUEENSLAND,"Amity Point, North Stradbroke Island",Swimming,F,21,FATAL,Y,17h15,Bull shark,2006,JAN,SWIMMING,No,FATAL INJURY,BULL
1513,04-Jan-2006,2006,Unprovoked,USA,FLORIDA,"Round Island Park, Indian River County",Surfing,M,21,3 puncture wounds in right wrist & hand,N,16h45,4' shark,2006,JAN,SURFING,No,PUNCTURED,UNKONWN
